Time,Solar Irradiation
2019-12-31 14:00:00-05:00,0.0
2019-12-31 14:15:00-05:00,0.0
2019-12-31 14:30:00-05:00,0.0
2019-12-31 14:45:00-05:00,0.0
2019-12-31 15:00:00-05:00,0.0
2019-12-31 15:15:00-05:00,0.0
2019-12-31 15:30:00-05:00,0.0
2019-12-31 15:45:00-05:00,0.0
2019-12-31 16:00:00-05:00,0.0
2019-12-31 16:15:00-05:00,0.0
2019-12-31 16:30:00-05:00,0.0
2019-12-31 16:45:00-05:00,0.0
2019-12-31 17:00:00-05:00,0.0
2019-12-31 17:15:00-05:00,0.0
2019-12-31 17:30:00-05:00,0.0
2019-12-31 17:45:00-05:00,0.0
2019-12-31 18:00:00-05:00,0.0
2019-12-31 18:15:00-05:00,0.0
2019-12-31 18:30:00-05:00,0.0
2019-12-31 18:45:00-05:00,0.0
2019-12-31 19:00:00-05:00,0.0
2019-12-31 19:15:00-05:00,0.0
2019-12-31 19:30:00-05:00,0.0
2019-12-31 19:45:00-05:00,0.0
2019-12-31 20:00:00-05:00,0.0
2019-12-31 20:15:00-05:00,0.0
2019-12-31 20:30:00-05:00,0.0
2019-12-31 20:45:00-05:00,0.0
2019-12-31 21:00:00-05:00,0.0
2019-12-31 21:15:00-05:00,0.0
2019-12-31 21:30:00-05:00,0.0
2019-12-31 21:45:00-05:00,0.0
2019-12-31 22:00:00-05:00,0.0
2019-12-31 22:15:00-05:00,0.0
2019-12-31 22:30:00-05:00,0.0
2019-12-31 22:45:00-05:00,0.0
2019-12-31 23:00:00-05:00,0.0
2019-12-31 23:15:00-05:00,0.0
2019-12-31 23:30:00-05:00,0.0
2019-12-31 23:45:00-05:00,0.0
2020-01-01 00:00:00-05:00,0.0
2020-01-01 00:15:00-05:00,0.0
2020-01-01 00:30:00-05:00,0.0
2020-01-01 00:45:00-05:00,0.0
2020-01-01 01:00:00-05:00,0.0
2020-01-01 01:15:00-05:00,0.0
2020-01-01 01:30:00-05:00,0.0
2020-01-01 01:45:00-05:00,0.0
2020-01-01 02:00:00-05:00,0.0
2020-01-01 02:15:00-05:00,0.0
2020-01-01 02:30:00-05:00,0.0
2020-01-01 02:45:00-05:00,0.0
