Time,Solar Irradiation
2020-12-31 14:00:00-05:00,0.0
2020-12-31 15:00:00-05:00,0.0
2020-12-31 16:00:00-05:00,0.0
2020-12-31 17:00:00-05:00,0.0
2020-12-31 18:00:00-05:00,0.0
2020-12-31 19:00:00-05:00,0.0
2020-12-31 20:00:00-05:00,0.0
2020-12-31 21:00:00-05:00,0.0
2020-12-31 22:00:00-05:00,0.0
2020-12-31 23:00:00-05:00,0.0
2021-01-01 00:00:00-05:00,0.0
2021-01-01 01:00:00-05:00,0.0
2021-01-01 02:00:00-05:00,0.0
2021-01-01 03:00:00-05:00,70.51
2021-01-01 04:00:00-05:00,175.66
2021-01-01 05:00:00-05:00,293.64
2021-01-01 06:00:00-05:00,342.56
2021-01-01 07:00:00-05:00,351.17
2021-01-01 08:00:00-05:00,217.73
2021-01-01 09:00:00-05:00,152.98
2021-01-01 10:00:00-05:00,50.41
2021-01-01 11:00:00-05:00,0.0
2021-01-01 12:00:00-05:00,0.0
2021-01-01 13:00:00-05:00,0.0
2021-01-01 14:00:00-05:00,0.0
2021-01-01 15:00:00-05:00,0.0
2021-01-01 16:00:00-05:00,0.0
2021-01-01 17:00:00-05:00,0.0
2021-01-01 18:00:00-05:00,0.0
2021-01-01 19:00:00-05:00,0.0
2021-01-01 20:00:00-05:00,0.0
2021-01-01 21:00:00-05:00,0.0
2021-01-01 22:00:00-05:00,0.0
2021-01-01 23:00:00-05:00,0.0
2021-01-02 00:00:00-05:00,0.0
2021-01-02 01:00:00-05:00,0.0
2021-01-02 02:00:00-05:00,0.0
2021-01-02 03:00:00-05:00,38.38
2021-01-02 04:00:00-05:00,56.07
2021-01-02 05:00:00-05:00,101.34
2021-01-02 06:00:00-05:00,132.08
2021-01-02 07:00:00-05:00,124.73
2021-01-02 08:00:00-05:00,164.62
2021-01-02 09:00:00-05:00,97.8
2021-01-02 10:00:00-05:00,73.36
2021-01-02 11:00:00-05:00,0.0
2021-01-02 12:00:00-05:00,0.0
